,Tuning Parameter,Training RMSE,MSE
OLS,,24302512809.181747,0.0058195240119097887
Lasso,,0.087836393166532564,0.0066103323920358075
ElasticNet,,0.087837071123373925,0.0066104088728484089
PLS,,0.10097564668219257,0.0061975540464886203
Gradient Boosting,,,7.3134202771138457e-05
